time,sum_value,count_value,volatility
2021-10-20,0.0013211241111548986,589,0.0014976632115864322
2021-10-21,0.000515025506243967,656,0.0008860586081514123
2021-10-22,0.00041689997044459966,548,0.0008722192209670984
2021-10-25,0.0001576416959561948,465,0.0005822494310051279
2021-10-26,9.155250117525664e-05,445,0.0004535812580973843
2021-10-27,0.00011248563261277288,463,0.0004928991078112751
2021-10-28,0.00021313543095665406,447,0.0006905165057011733
2021-10-29,0.00011658660692975946,442,0.0005135860238689162
2021-11-01,0.00019461520775722576,449,0.0006583626984166304
2021-11-02,0.0001677420480029871,440,0.0006174398167267123
2021-11-03,0.0003755530717272774,443,0.0009207331847926978
2021-11-04,0.00033211562364446004,585,0.00075347130985649
2021-11-05,0.00027575434315972575,474,0.0007627320746084776
2021-11-08,0.00017262739289365694,477,0.0006015831540042247
